Target,R2,RMSE,MAE,Pearson,Bias,Std_Obs,Std_Pred
delta_increment_NoCDF_minus_CDF_SSM,0.12080019750146269,0.09916145758695227,0.06212440979241122,0.35029846807607967,0,0,0
increment_SSM_DA_NoCDF,0.2688478792035469,0.08220201157079847,0.05447453988313191,0.5197833482923329,0,0,0
delta_DA_NoCDF_minus_OPL_RZSM,0.3978786334472693,0.020977843772965694,0.014423528925812456,0.6369785696879845,0,0,0
delta_DA_NoCDF_minus_OPL_ET,0.5190397635886395,7.3568368662034445,4.7323193263715435,0.7252111781954464,0,0,0
delta_DA_NoCDF_minus_OPL_baseflow,-0.07174435779270236,5.065386033480451,1.2940111843833155,0.24802735070110032,0,0,0
delta_increment_NoCDF_minus_CDF_RZSM,0.09670262268989169,0.027089345195435578,0.013346190350688139,0.3167657669108147,0,0,0
delta_DA_CDF_minus_OPL_ET,0.35325679077558936,6.80486818805227,4.380775156930309,0.5945902622912594,0,0,0
delta_DA_CDF_minus_OPL_RZSM,0.2225059083824063,0.018107713647497053,0.01189097120941677,0.4772241604979663,0,0,0
