period,experiment,P,ET,Qs,Qsb,Qtotal,flux_only_residual
annual,OPL,0.5926806093113819,0.5885451165187899,0.01811802142170874,0.027544609680116797,0.045662631101825536,-0.04152713830923358
annual,DA_NoCDF,0.5941400075004317,0.5405926396487457,0.02024935098079296,0.052361473608137296,0.07261082458893026,-0.019063456737244244
annual,DA_CDF,0.5941400075004317,0.6343871311013493,0.017943939718328417,0.02811390189761081,0.046057841615939225,-0.08630496521685677
DJF,OPL,0.6179961317236236,0.5014335337018647,0.021996360027491568,0.026096104200502936,0.0480924642279945,0.06847013379376433
DJF,DA_NoCDF,0.6195557947481558,0.4108090655888861,0.025242955083552277,0.07142707771378715,0.09667003279733942,0.11207669636193031
DJF,DA_CDF,0.6195557947481558,0.520328179660756,0.022068498414662945,0.027870019559698686,0.049938517974361635,0.04928909711303822
JJA,OPL,0.18588026046661144,0.4543275603876723,0.0033567064268858787,0.028097844047257084,0.031454550474142966,-0.29990185039520384
JJA,DA_NoCDF,0.1863561577909072,0.5592297900305464,0.0036045876675440784,0.038468606801831166,0.04207319446937524,-0.41494682670901445
JJA,DA_CDF,0.1863561577909072,0.5551265345344397,0.003403374728103355,0.027898035343516127,0.03130141007161948,-0.400071786815152
