Target,Predictor,Importance,Importance_Type,Importance_Rank
increment_RZSM_DA_NoCDF,SMC_L4_OPL,0.07590987325037941,Impurity,7.0
increment_RZSM_DA_NoCDF,month,0.030789500857075876,Impurity,13.0
increment_RZSM_DA_NoCDF,season,0.026489387743601454,Impurity,14.0
increment_RZSM_DA_NoCDF,elevation,0.0,Impurity,15.0
increment_RZSM_DA_NoCDF,soil_texture,0.03499805526171419,Impurity,12.0
increment_RZSM_DA_NoCDF,land_cover,0.06529594002653075,Impurity,11.0
increment_RZSM_DA_NoCDF,irrigation_fraction,0.0,Impurity,15.0
increment_RZSM_DA_NoCDF,soil_texture_dominant_fraction,0.0,Impurity,15.0
increment_RZSM_DA_NoCDF,land_cover_dominant_fraction,0.0,Impurity,15.0
increment_RZSM_DA_CDF,precipitation_model,0.133339628018597,Impurity,1.0
increment_RZSM_DA_CDF,SSM_OPL,0.08024314295018663,Impurity,5.0
increment_RZSM_DA_CDF,RZSM_OPL,0.06880789185479795,Impurity,9.0
increment_RZSM_DA_CDF,Evap_tavg_OPL,0.10146569343200007,Impurity,2.0
increment_RZSM_DA_CDF,Qs_tavg_OPL,0.09964973486149951,Impurity,3.0
increment_RZSM_DA_CDF,Qsb_tavg_OPL,0.07258679107734117,Impurity,7.0
increment_RZSM_DA_CDF,SMC_L1_OPL,0.07999152669166501,Impurity,6.0
increment_RZSM_DA_CDF,SMC_L2_OPL,0.06845051281552023,Impurity,10.0
increment_RZSM_DA_CDF,SMC_L3_OPL,0.06961292364660313,Impurity,8.0
increment_RZSM_DA_CDF,SMC_L4_OPL,0.0832957797023593,Impurity,4.0
increment_RZSM_DA_CDF,month,0.02742181739523798,Impurity,13.0
increment_RZSM_DA_CDF,season,0.03675282352015767,Impurity,12.0
increment_RZSM_DA_CDF,elevation,0.0,Impurity,15.0
increment_RZSM_DA_CDF,soil_texture,0.0246102167961091,Impurity,14.0
increment_RZSM_DA_CDF,land_cover,0.053771517237925275,Impurity,11.0
increment_RZSM_DA_CDF,irrigation_fraction,0.0,Impurity,15.0
increment_RZSM_DA_CDF,soil_texture_dominant_fraction,0.0,Impurity,15.0
increment_RZSM_DA_CDF,land_cover_dominant_fraction,0.0,Impurity,15.0
delta_increment_NoCDF_minus_CDF_RZSM,precipitation_model,0.09683691167856631,Impurity,1.0
delta_increment_NoCDF_minus_CDF_RZSM,SSM_OPL,0.07941221547967033,Impurity,6.0
delta_increment_NoCDF_minus_CDF_RZSM,RZSM_OPL,0.0759782041431092,Impurity,8.0
delta_increment_NoCDF_minus_CDF_RZSM,Evap_tavg_OPL,0.09630543120592829,Impurity,2.0
delta_increment_NoCDF_minus_CDF_RZSM,Qs_tavg_OPL,0.09319571215034332,Impurity,3.0
delta_increment_NoCDF_minus_CDF_RZSM,Qsb_tavg_OPL,0.08811329287951229,Impurity,4.0
delta_increment_NoCDF_minus_CDF_RZSM,SMC_L1_OPL,0.07816970270687237,Impurity,7.0
delta_increment_NoCDF_minus_CDF_RZSM,SMC_L2_OPL,0.07379051777869014,Impurity,10.0
delta_increment_NoCDF_minus_CDF_RZSM,SMC_L3_OPL,0.07529151809121377,Impurity,9.0
delta_increment_NoCDF_minus_CDF_RZSM,SMC_L4_OPL,0.08545989330741473,Impurity,5.0
delta_increment_NoCDF_minus_CDF_RZSM,month,0.03121369975602561,Impurity,13.0
delta_increment_NoCDF_minus_CDF_RZSM,season,0.0242807066162031,Impurity,14.0
delta_increment_NoCDF_minus_CDF_RZSM,elevation,0.0,Impurity,15.0
delta_increment_NoCDF_minus_CDF_RZSM,soil_texture,0.034589783007020994,Impurity,12.0
delta_increment_NoCDF_minus_CDF_RZSM,land_cover,0.06736241119942962,Impurity,11.0
delta_increment_NoCDF_minus_CDF_RZSM,irrigation_fraction,0.0,Impurity,15.0
