group,n_ref,ref_mean,ref_std
"(30.799997, -6.1500244, 1)",4,0.20790444,0.0030046722
"(30.799997, -6.1500244, 3)",5,0.20615332,0.00247499
"(30.799997, -6.1500244, 5)",5,0.20632172,0.005050182
"(30.799997, -6.1500244, 7)",5,0.19966452,0.0034492214
"(30.799997, -6.1500244, 8)",5,0.20266576,0.003212603
"(30.799997, -6.1500244, 10)",5,0.20938554,0.003122652
"(30.799997, -6.1500244, 12)",5,0.21306577,0.006267416
"(30.799997, -6.0999756, 1)",4,0.20855847,0.0031320942
"(30.799997, -6.0999756, 3)",5,0.20648077,0.0027747897
"(30.799997, -6.0999756, 5)",5,0.2068826,0.004819359
"(30.799997, -6.0999756, 7)",5,0.19992569,0.0033044359
"(30.799997, -6.0999756, 8)",5,0.20296507,0.0029499596
"(30.799997, -6.0999756, 10)",5,0.21002658,0.003113175
"(30.799997, -6.0999756, 12)",5,0.2141917,0.0061103916
"(30.799997, -6.049988, 1)",4,0.20854925,0.0031046753
"(30.799997, -6.049988, 3)",5,0.20652089,0.0026416013
"(30.799997, -6.049988, 5)",5,0.20706291,0.0047256853
"(30.799997, -6.049988, 7)",5,0.20006695,0.0030688026
"(30.799997, -6.049988, 8)",5,0.20308936,0.0027802992
"(30.799997, -6.049988, 10)",5,0.21024351,0.0031123802
"(30.799997, -6.049988, 12)",5,0.21450813,0.0060188835
"(30.799997, -6.0, 1)",4,0.2078642,0.0029875664
"(30.799997, -6.0, 3)",5,0.20608962,0.002288821
"(30.799997, -6.0, 5)",5,0.20666525,0.004700909
"(30.799997, -6.0, 7)",5,0.19996129,0.002814555
"(30.799997, -6.0, 8)",5,0.20288575,0.0026553
"(30.799997, -6.0, 10)",5,0.20988674,0.0030176914
"(30.799997, -6.0, 12)",5,0.21379006,0.005919486
"(30.799997, -5.950012, 1)",4,0.20767006,0.003332766
"(30.799997, -5.950012, 3)",5,0.20560384,0.0025033704
"(30.799997, -5.950012, 5)",5,0.20634572,0.0049750283
"(30.799997, -5.950012, 7)",5,0.19946483,0.0027580478
"(30.799997, -5.950012, 8)",5,0.20235398,0.0028092589
"(30.799997, -5.950012, 10)",5,0.20983343,0.0036109718
"(30.799997, -5.950012, 12)",5,0.21351627,0.006231166
"(30.799997, -5.9000244, 1)",4,0.20691477,0.0036537081
"(30.799997, -5.9000244, 3)",5,0.20468104,0.0025895117
"(30.799997, -5.9000244, 5)",5,0.20579228,0.0051180306
"(30.799997, -5.9000244, 7)",5,0.1990977,0.0026939942
"(30.799997, -5.9000244, 8)",5,0.20188475,0.002858637
"(30.799997, -5.9000244, 10)",5,0.20929441,0.0037396895
"(30.799997, -5.9000244, 12)",5,0.21240346,0.006555775
"(30.799997, -5.8499756, 1)",4,0.20640862,0.0041250577
"(30.799997, -5.8499756, 3)",5,0.20364754,0.0028303387
"(30.799997, -5.8499756, 5)",5,0.20519665,0.0052078078
"(30.799997, -5.8499756, 7)",5,0.19850035,0.0028479537
"(30.799997, -5.8499756, 8)",5,0.20120999,0.0029492402
"(30.799997, -5.8499756, 10)",5,0.20870526,0.0040012733
"(30.799997, -5.8499756, 12)",5,0.21168466,0.0070448657
"(30.799997, -5.799988, 1)",4,0.20547166,0.004465554
"(30.799997, -5.799988, 3)",5,0.20240542,0.0030830465
"(30.799997, -5.799988, 5)",5,0.20410831,0.0050450885
"(30.799997, -5.799988, 7)",5,0.19777256,0.0030946073
"(30.799997, -5.799988, 8)",5,0.20040075,0.0029658747
"(30.799997, -5.799988, 10)",5,0.20771602,0.004050467
"(30.799997, -5.799988, 12)",5,0.2105724,0.0073691355
"(30.799997, -5.75, 1)",4,0.20454794,0.004553701
"(30.799997, -5.75, 3)",5,0.20143428,0.00314454
"(30.799997, -5.75, 5)",5,0.20280771,0.004754889
"(30.799997, -5.75, 7)",5,0.19700532,0.003295012
"(30.799997, -5.75, 8)",5,0.19957948,0.00295822
"(30.799997, -5.75, 10)",5,0.20668122,0.004093836
"(30.799997, -5.75, 12)",5,0.20941274,0.007498616
"(30.799997, -5.700012, 1)",4,0.20426798,0.004624352
"(30.799997, -5.700012, 3)",5,0.20095608,0.0030054832
"(30.799997, -5.700012, 5)",5,0.20206046,0.004570135
"(30.799997, -5.700012, 7)",5,0.19660124,0.003382223
"(30.799997, -5.700012, 8)",5,0.199171,0.0030292764
"(30.799997, -5.700012, 10)",5,0.20619452,0.0045423456
"(30.799997, -5.700012, 12)",5,0.20886843,0.007624951
"(30.799997, -5.6500244, 1)",4,0.2042653,0.004714424
"(30.799997, -5.6500244, 3)",5,0.20092371,0.0029149342
"(30.799997, -5.6500244, 5)",5,0.20194471,0.00457906
"(30.799997, -5.6500244, 7)",5,0.1967839,0.0033386755
"(30.799997, -5.6500244, 8)",5,0.19936147,0.0032208173
"(30.799997, -5.6500244, 10)",5,0.20608549,0.0052626366
"(30.799997, -5.6500244, 12)",5,0.20850138,0.0077039306
"(30.799997, -5.5999756, 1)",4,0.20425873,0.004943213
"(30.799997, -5.5999756, 3)",5,0.2008157,0.0030009144
"(30.799997, -5.5999756, 5)",5,0.20177987,0.004676248
"(30.799997, -5.5999756, 7)",5,0.19683266,0.0033706948
"(30.799997, -5.5999756, 8)",5,0.19943419,0.0034421652
"(30.799997, -5.5999756, 10)",5,0.20591351,0.0058794944
"(30.799997, -5.5999756, 12)",5,0.20816436,0.007761336
"(30.799997, -5.549988, 1)",4,0.20410909,0.005333339
"(30.799997, -5.549988, 3)",5,0.20059204,0.0033537727
"(30.799997, -5.549988, 5)",5,0.20163195,0.004807628
"(30.799997, -5.549988, 7)",5,0.19679436,0.003589302
"(30.799997, -5.549988, 8)",5,0.19940773,0.0037364857
"(30.799997, -5.549988, 10)",5,0.20565026,0.0061520026
"(30.799997, -5.549988, 12)",5,0.2076931,0.007852164
"(30.799997, -5.5, 1)",4,0.20386001,0.00555436
"(30.799997, -5.5, 3)",5,0.20035172,0.0038305547
"(30.799997, -5.5, 5)",5,0.20160861,0.00503394
"(30.799997, -5.5, 7)",5,0.19689018,0.0038559588
"(30.799997, -5.5, 8)",5,0.19950154,0.0040348223
"(30.799997, -5.5, 10)",5,0.20552173,0.0062289643
"(30.799997, -5.5, 12)",5,0.207183,0.007848732
"(30.799997, -5.450012, 1)",4,0.20382518,0.005205632
"(30.799997, -5.450012, 3)",5,0.2002471,0.003967261
"(30.799997, -5.450012, 5)",5,0.20161597,0.004991196
"(30.799997, -5.450012, 7)",5,0.19702259,0.003910118
"(30.799997, -5.450012, 8)",5,0.19965678,0.003966001
"(30.799997, -5.450012, 10)",5,0.2058487,0.0062642875
"(30.799997, -5.450012, 12)",5,0.20715404,0.0074933753
"(30.799997, -5.4000244, 1)",4,0.20386316,0.0045561222
"(30.799997, -5.4000244, 3)",5,0.2004042,0.003971004
"(30.799997, -5.4000244, 5)",5,0.20163265,0.004796029
"(30.799997, -5.4000244, 7)",5,0.19719791,0.003995243
"(30.799997, -5.4000244, 8)",5,0.19985141,0.0037367914
"(30.799997, -5.4000244, 10)",5,0.20644052,0.0063724965
"(30.799997, -5.4000244, 12)",5,0.20735547,0.0069667697
"(30.799997, -5.3499756, 1)",4,0.2038384,0.0040332815
"(30.799997, -5.3499756, 3)",5,0.20087352,0.0040393253
"(30.799997, -5.3499756, 5)",5,0.20168991,0.0048188423
"(30.799997, -5.3499756, 7)",5,0.19747019,0.0043520555
"(30.799997, -5.3499756, 8)",5,0.20011511,0.0037505284
"(30.799997, -5.3499756, 10)",5,0.20695777,0.0065964847
"(30.799997, -5.3499756, 12)",5,0.2073843,0.006583891
"(30.799997, -5.299988, 1)",4,0.20382607,0.0039388705
"(30.799997, -5.299988, 3)",5,0.20137271,0.004173888
"(30.799997, -5.299988, 5)",5,0.20177813,0.0051344484
"(30.799997, -5.299988, 7)",5,0.19778717,0.0046786694
"(30.799997, -5.299988, 8)",5,0.20040381,0.003981873
"(30.799997, -5.299988, 10)",5,0.20721725,0.0067659672
"(30.799997, -5.299988, 12)",5,0.20720276,0.0065089543
"(30.799997, -5.25, 1)",4,0.20359218,0.0043707336
"(30.799997, -5.25, 3)",5,0.20136032,0.004393429
"(30.799997, -5.25, 5)",5,0.2015656,0.005636378
"(30.799997, -5.25, 7)",5,0.19772145,0.004808574
"(30.799997, -5.25, 8)",5,0.2003245,0.0043267473
"(30.799997, -5.25, 10)",5,0.20675611,0.006892989
"(30.799997, -5.25, 12)",5,0.20654137,0.0068088453
"(30.799997, -5.200012, 1)",4,0.2031355,0.0047354433
"(30.799997, -5.200012, 3)",5,0.20070183,0.004316756
"(30.799997, -5.200012, 5)",5,0.20082788,0.005849562
"(30.799997, -5.200012, 7)",5,0.19699197,0.0045241327
"(30.799997, -5.200012, 8)",5,0.19961393,0.004383844
"(30.799997, -5.200012, 10)",5,0.20574877,0.006955242
"(30.799997, -5.200012, 12)",5,0.20556203,0.0069711185
"(30.799997, -5.1500244, 1)",4,0.20269164,0.0050648395
"(30.799997, -5.1500244, 3)",5,0.20014867,0.004479229
"(30.799997, -5.1500244, 5)",5,0.20035973,0.0059989984
"(30.799997, -5.1500244, 7)",5,0.19654351,0.0043357774
"(30.799997, -5.1500244, 8)",5,0.19917384,0.0044682855
"(30.799997, -5.1500244, 10)",5,0.20515141,0.007086978
"(30.799997, -5.1500244, 12)",5,0.20468247,0.006955075
"(30.799997, -5.0999756, 1)",4,0.20273146,0.005946148
"(30.799997, -5.0999756, 3)",5,0.2004319,0.0052788523
"(30.799997, -5.0999756, 5)",5,0.20084171,0.006411116
"(30.799997, -5.0999756, 7)",5,0.19720349,0.00480827
"(30.799997, -5.0999756, 8)",5,0.19976814,0.004972836
"(30.799997, -5.0999756, 10)",5,0.20548928,0.007453747
"(30.799997, -5.0999756, 12)",5,0.20435622,0.007391337
"(30.799997, -5.049988, 1)",4,0.20324564,0.0062309327
"(30.799997, -5.049988, 3)",5,0.20087537,0.0051509696
"(30.799997, -5.049988, 5)",5,0.20110615,0.0063757687
"(30.799997, -5.049988, 7)",5,0.1976715,0.005027906
"(30.799997, -5.049988, 8)",5,0.20016117,0.0050116656
"(30.799997, -5.049988, 10)",5,0.20577116,0.0074849497
"(30.799997, -5.049988, 12)",5,0.20432405,0.007573287
"(30.799997, -5.0, 1)",4,0.20365727,0.006358279
"(30.799997, -5.0, 3)",5,0.20170324,0.0043267584
"(30.799997, -5.0, 5)",5,0.20146994,0.0060927346
"(30.799997, -5.0, 7)",5,0.19823125,0.005010339
"(30.799997, -5.0, 8)",5,0.20063336,0.004737581
"(30.799997, -5.0, 10)",5,0.20602076,0.007129036
"(30.799997, -5.0, 12)",5,0.20455673,0.0075351666
"(30.799997, -4.950012, 1)",4,0.20362759,0.006534708
"(30.799997, -4.950012, 3)",5,0.20195735,0.004118594
"(30.799997, -4.950012, 5)",5,0.20162618,0.0060006445
"(30.799997, -4.950012, 7)",5,0.19863704,0.0050591724
"(30.799997, -4.950012, 8)",5,0.20096698,0.0046777637
"(30.799997, -4.950012, 10)",5,0.20578381,0.0069444436
"(30.799997, -4.950012, 12)",5,0.204711,0.0077275876
"(30.799997, -4.9000244, 1)",4,0.20310843,0.006843435
"(30.799997, -4.9000244, 3)",5,0.20144577,0.004045742
"(30.799997, -4.9000244, 5)",5,0.20109496,0.0060153184
"(30.799997, -4.9000244, 7)",5,0.19831541,0.00508882
"(30.799997, -4.9000244, 8)",5,0.20060232,0.004731467
"(30.799997, -4.9000244, 10)",5,0.2049276,0.0070318105
"(30.799997, -4.9000244, 12)",5,0.20434818,0.008108511
"(30.799997, -4.8499756, 1)",4,0.20298639,0.0068856105
"(30.799997, -4.8499756, 3)",5,0.20138231,0.00395184
"(30.799997, -4.8499756, 5)",5,0.20106295,0.0060203783
"(30.799997, -4.8499756, 7)",5,0.19855776,0.0050978963
"(30.799997, -4.8499756, 8)",5,0.20081739,0.0047938433
"(30.799997, -4.8499756, 10)",5,0.20465544,0.0069915475
"(30.799997, -4.8499756, 12)",5,0.20445879,0.008280605
"(30.799997, -4.799988, 1)",4,0.20311669,0.0069129565
"(30.799997, -4.799988, 3)",5,0.2014179,0.003844275
"(30.799997, -4.799988, 5)",5,0.20105202,0.005974053
"(30.799997, -4.799988, 7)",5,0.19873732,0.0049428097
"(30.799997, -4.799988, 8)",5,0.2010349,0.0047400133
"(30.799997, -4.799988, 10)",5,0.20462522,0.006862698
"(30.799997, -4.799988, 12)",5,0.20475559,0.008271192
"(30.799997, -4.75, 1)",4,0.2039397,0.006856334
"(30.799997, -4.75, 3)",5,0.20211458,0.003806891
"(30.799997, -4.75, 5)",5,0.20166111,0.0059214407
"(30.799997, -4.75, 7)",5,0.19945702,0.0046806573
"(30.799997, -4.75, 8)",5,0.20180431,0.004639826
"(30.799997, -4.75, 10)",5,0.20524661,0.006751465
"(30.799997, -4.75, 12)",5,0.20570655,0.00804543
"(30.799997, -4.700012, 1)",4,0.20498736,0.006877659
"(30.799997, -4.700012, 3)",5,0.20299868,0.003944415
"(30.799997, -4.700012, 5)",5,0.20238416,0.005988736
"(30.799997, -4.700012, 7)",5,0.20021701,0.004515555
"(30.799997, -4.700012, 8)",5,0.20259926,0.004664483
"(30.799997, -4.700012, 10)",5,0.20598726,0.0068440074
"(30.799997, -4.700012, 12)",5,0.20676215,0.00790651
"(30.799997, -4.6500244, 1)",4,0.20616835,0.006740453
"(30.799997, -4.6500244, 3)",5,0.2041183,0.0040979832
"(30.799997, -4.6500244, 5)",5,0.20339307,0.006098978
"(30.799997, -4.6500244, 7)",5,0.20131055,0.0044832914
"(30.799997, -4.6500244, 8)",5,0.20366034,0.004754331
"(30.799997, -4.6500244, 10)",5,0.20689306,0.0069757546
"(30.799997, -4.6500244, 12)",5,0.20797515,0.007844681
"(30.799997, -4.5999756, 1)",4,0.20715937,0.006653398
"(30.799997, -4.5999756, 3)",5,0.20499595,0.0042261835
"(30.799997, -4.5999756, 5)",5,0.20427272,0.0062021245
"(30.799997, -4.5999756, 7)",5,0.20222262,0.0045155766
"(30.799997, -4.5999756, 8)",5,0.20452158,0.004852482
"(30.799997, -4.5999756, 10)",5,0.20763731,0.0071308063
"(30.799997, -4.5999756, 12)",5,0.20899782,0.007916716
"(30.799997, -4.549988, 1)",4,0.20760185,0.0066678133
"(30.799997, -4.549988, 3)",5,0.20516403,0.0042144586
"(30.799997, -4.549988, 5)",5,0.20472845,0.006007664
"(30.799997, -4.549988, 7)",5,0.20258304,0.0043425625
"(30.799997, -4.549988, 8)",5,0.20483553,0.0046997243
"(30.799997, -4.549988, 10)",5,0.20792599,0.007057694
"(30.799997, -4.549988, 12)",5,0.20957637,0.007897456
"(30.799997, -4.5, 1)",4,0.20802796,0.00669317
"(30.799997, -4.5, 3)",5,0.20522411,0.004102841
"(30.799997, -4.5, 5)",5,0.20507112,0.0056763343
"(30.799997, -4.5, 7)",5,0.2028671,0.004036509
"(30.799997, -4.5, 8)",5,0.205086,0.004406192
"(30.799997, -4.5, 10)",5,0.208168,0.0068156426
"(30.799997, -4.5, 12)",5,0.21019197,0.0077610156
"(30.799997, -4.450012, 1)",4,0.20880762,0.006646521
"(30.799997, -4.450012, 3)",5,0.20572945,0.0040229843
"(30.799997, -4.450012, 5)",5,0.20564604,0.0053955643
"(30.799997, -4.450012, 7)",5,0.20358999,0.003730423
"(30.799997, -4.450012, 8)",5,0.20575607,0.0041572223
"(30.799997, -4.450012, 10)",5,0.20868905,0.006511771
"(30.799997, -4.450012, 12)",5,0.2112164,0.007566954
"(30.799997, -4.4000244, 1)",4,0.20933941,0.007105488
"(30.799997, -4.4000244, 3)",5,0.20574093,0.0040568905
"(30.799997, -4.4000244, 5)",5,0.20543337,0.005206866
"(30.799997, -4.4000244, 7)",5,0.20351633,0.003506871
"(30.799997, -4.4000244, 8)",5,0.20565908,0.0041278265
"(30.799997, -4.4000244, 10)",5,0.20871611,0.006583089
"(30.799997, -4.4000244, 12)",5,0.21182403,0.0077940556
"(30.799997, -4.3499756, 1)",4,0.20980063,0.0072974446
"(30.799997, -4.3499756, 3)",5,0.2057729,0.00397226
"(30.799997, -4.3499756, 5)",5,0.2052609,0.0048721097
"(30.799997, -4.3499756, 7)",5,0.20358007,0.0033248966
"(30.799997, -4.3499756, 8)",5,0.20567949,0.004048237
"(30.799997, -4.3499756, 10)",5,0.20885582,0.006662907
"(30.799997, -4.3499756, 12)",5,0.21247539,0.0079029435
"(30.799997, -4.299988, 1)",4,0.2099917,0.0073066135
"(30.799997, -4.299988, 3)",5,0.20566826,0.0038458393
"(30.799997, -4.299988, 5)",5,0.20500839,0.0045374203
"(30.799997, -4.299988, 7)",5,0.20351362,0.0031803537
"(30.799997, -4.299988, 8)",5,0.20556822,0.0039164927
"(30.799997, -4.299988, 10)",5,0.20890531,0.0068121427
"(30.799997, -4.299988, 12)",5,0.2128438,0.007923044
"(30.799997, -4.25, 1)",4,0.20999429,0.007090441
"(30.799997, -4.25, 3)",5,0.20552294,0.0036110454
"(30.799997, -4.25, 5)",5,0.2048605,0.004176337
"(30.799997, -4.25, 7)",5,0.20347075,0.0029908505
"(30.799997, -4.25, 8)",5,0.20548432,0.0036548192
"(30.799997, -4.25, 10)",5,0.2090179,0.0069996067
"(30.799997, -4.25, 12)",5,0.21302164,0.007831791
"(30.799997, -4.200012, 1)",4,0.20991679,0.007138929
"(30.799997, -4.200012, 3)",5,0.20514679,0.0034136013
"(30.799997, -4.200012, 5)",5,0.20439652,0.003876244
"(30.799997, -4.200012, 7)",5,0.20302173,0.0028247423
"(30.799997, -4.200012, 8)",5,0.20503235,0.003473393
"(30.799997, -4.200012, 10)",5,0.20900023,0.0074262093
"(30.799997, -4.200012, 12)",5,0.21294188,0.007960444
"(30.799997, -4.1500244, 1)",4,0.21001092,0.0067931567
"(30.799997, -4.1500244, 3)",5,0.20534007,0.0031617165
"(30.799997, -4.1500244, 5)",5,0.20470548,0.0036768827
"(30.799997, -4.1500244, 7)",5,0.2034065,0.0027431778
"(30.799997, -4.1500244, 8)",5,0.2054011,0.003266731
"(30.799997, -4.1500244, 10)",5,0.20947365,0.0076337317
"(30.799997, -4.1500244, 12)",5,0.21317768,0.007904325
"(30.799997, -4.0999756, 1)",4,0.20956497,0.006985596
"(30.799997, -4.0999756, 3)",5,0.20479655,0.0030693721
"(30.799997, -4.0999756, 5)",5,0.2041369,0.0036392226
"(30.799997, -4.0999756, 7)",5,0.2028064,0.0028298814
"(30.799997, -4.0999756, 8)",5,0.20484963,0.0033550514
"(30.799997, -4.0999756, 10)",5,0.2092773,0.008075864
"(30.799997, -4.0999756, 12)",5,0.2126008,0.008096539
"(30.799997, -4.049988, 1)",4,0.20863548,0.0067359684
"(30.799997, -4.049988, 3)",5,0.20425692,0.0030910587
"(30.799997, -4.049988, 5)",5,0.20371513,0.0037562938
"(30.799997, -4.049988, 7)",5,0.20241508,0.0030619798
"(30.799997, -4.049988, 8)",5,0.20448723,0.0034966187
"(30.799997, -4.049988, 10)",5,0.20892835,0.008210121
"(30.799997, -4.049988, 12)",5,0.21167132,0.0078053107
"(30.799997, -4.0, 1)",4,0.20776035,0.0062892763
"(30.799997, -4.0, 3)",5,0.20395152,0.0032282604
"(30.799997, -4.0, 5)",5,0.20356414,0.0039138263
"(30.799997, -4.0, 7)",5,0.20232241,0.0033433435
"(30.799997, -4.0, 8)",5,0.20443204,0.0036322712
"(30.799997, -4.0, 10)",5,0.20869634,0.00816866
"(30.799997, -4.0, 12)",5,0.21086386,0.0072840443
"(30.799997, -3.9500122, 1)",4,0.20755315,0.006057188
"(30.799997, -3.9500122, 3)",5,0.20408204,0.0033672694
"(30.799997, -3.9500122, 5)",5,0.20381911,0.003984366
"(30.799997, -3.9500122, 7)",5,0.20259187,0.0035962956
"(30.799997, -3.9500122, 8)",5,0.20474319,0.0037228188
"(30.799997, -3.9500122, 10)",5,0.20875819,0.008049821
"(30.799997, -3.9500122, 12)",5,0.21065268,0.006908571
"(30.799997, -3.9000244, 1)",4,0.20793918,0.006782428
"(30.799997, -3.9000244, 3)",5,0.20416358,0.003577341
"(30.799997, -3.9000244, 5)",5,0.20388854,0.003884835
"(30.799997, -3.9000244, 7)",5,0.20254755,0.0037291448
"(30.799997, -3.9000244, 8)",5,0.20477958,0.0038677114
"(30.799997, -3.9000244, 10)",5,0.20872846,0.008078655
"(30.799997, -3.9000244, 12)",5,0.210743,0.00713921
"(30.799997, -3.8499756, 1)",4,0.20920204,0.007933314
"(30.799997, -3.8499756, 3)",5,0.20472844,0.0036435677
"(30.799997, -3.8499756, 5)",5,0.2044334,0.003657557
"(30.799997, -3.8499756, 7)",5,0.20303261,0.0037119207
"(30.799997, -3.8499756, 8)",5,0.2052865,0.0039322316
"(30.799997, -3.8499756, 10)",5,0.20898712,0.007964589
"(30.799997, -3.8499756, 12)",5,0.2115858,0.007695843
"(30.799997, -3.7999878, 1)",4,0.21070439,0.009249571
"(30.799997, -3.7999878, 3)",5,0.20544751,0.003770064
"(30.799997, -3.7999878, 5)",5,0.20510194,0.0034810605
"(30.799997, -3.7999878, 7)",5,0.20370297,0.0036838977
"(30.799997, -3.7999878, 8)",5,0.20593539,0.0040676654
"(30.799997, -3.7999878, 10)",5,0.20931795,0.007837084
"(30.799997, -3.7999878, 12)",5,0.21263543,0.008383616
"(30.799997, -3.75, 1)",4,0.21208893,0.010404953
"(30.799997, -3.75, 3)",5,0.2062083,0.0039490154
"(30.799997, -3.75, 5)",5,0.20580745,0.0034098106
"(30.799997, -3.75, 7)",5,0.20448716,0.0036741
"(30.799997, -3.75, 8)",5,0.20665777,0.004266305
"(30.799997, -3.75, 10)",5,0.20966339,0.007686781
"(30.799997, -3.75, 12)",5,0.21358576,0.008992833
"(30.799997, -3.7000122, 1)",4,0.21308911,0.011170677
"(30.799997, -3.7000122, 3)",5,0.20680022,0.0040978612
"(30.799997, -3.7000122, 5)",5,0.20636484,0.0033665232
"(30.799997, -3.7000122, 7)",5,0.20514889,0.0036452527
"(30.799997, -3.7000122, 8)",5,0.20727089,0.004407362
"(30.799997, -3.7000122, 10)",5,0.20993194,0.007485054
"(30.799997, -3.7000122, 12)",5,0.21425653,0.009360944
"(30.799997, -3.6500244, 1)",4,0.2130667,0.011361174
"(30.799997, -3.6500244, 3)",5,0.20673278,0.0041821245
"(30.799997, -3.6500244, 5)",5,0.20626864,0.0033185594
"(30.799997, -3.6500244, 7)",5,0.20513158,0.003594323
"(30.799997, -3.6500244, 8)",5,0.20724094,0.0044302894
"(30.799997, -3.6500244, 10)",5,0.20967475,0.007315974
"(30.799997, -3.6500244, 12)",5,0.21409957,0.009401338
"(30.799997, -3.5999756, 1)",4,0.2121177,0.011001408
"(30.799997, -3.5999756, 3)",5,0.20610869,0.004156084
"(30.799997, -3.5999756, 5)",5,0.2056162,0.0033226393
"(30.799997, -3.5999756, 7)",5,0.20454517,0.0035680756
"(30.799997, -3.5999756, 8)",5,0.20664835,0.004343635
"(30.799997, -3.5999756, 10)",5,0.20894933,0.00721663
"(30.799997, -3.5999756, 12)",5,0.21324377,0.009142495
"(30.799997, -3.5499878, 1)",4,0.21039101,0.009887767
"(30.799997, -3.5499878, 3)",5,0.2051074,0.0039799837
"(30.799997, -3.5499878, 5)",5,0.20464425,0.0034566547
"(30.799997, -3.5499878, 7)",5,0.20363143,0.0036148743
"(30.799997, -3.5499878, 8)",5,0.20570707,0.0041716467
"(30.799997, -3.5499878, 10)",5,0.20795219,0.007173804
"(30.799997, -3.5499878, 12)",5,0.21192884,0.008473462
"(30.799997, -3.5, 1)",4,0.20831898,0.008635885
"(30.799997, -3.5, 3)",5,0.20383318,0.0040500765
"(30.799997, -3.5, 5)",5,0.20338802,0.003793444
"(30.799997, -3.5, 7)",5,0.20238717,0.0038685547
"(30.799997, -3.5, 8)",5,0.2044454,0.0041865883
"(30.799997, -3.5, 10)",5,0.20671694,0.0073121036
"(30.799997, -3.5, 12)",5,0.21034722,0.0077949236
"(30.799997, -3.4500122, 1)",4,0.20656091,0.0075341086
"(30.799997, -3.4500122, 3)",5,0.20278807,0.0042819134
"(30.799997, -3.4500122, 5)",5,0.2023451,0.004158074
"(30.799997, -3.4500122, 7)",5,0.20134139,0.0041738646
"(30.799997, -3.4500122, 8)",5,0.20338532,0.0043479153
"(30.799997, -3.4500122, 10)",5,0.20564029,0.007489342
"(30.799997, -3.4500122, 12)",5,0.20905373,0.007216896
"(30.799997, -3.4000244, 1)",4,0.205188,0.0067094443
"(30.799997, -3.4000244, 3)",5,0.20203224,0.0045407694
"(30.799997, -3.4000244, 5)",5,0.20154777,0.0044912575
"(30.799997, -3.4000244, 7)",5,0.20055108,0.0044720783
"(30.799997, -3.4000244, 8)",5,0.20258567,0.004564315
"(30.799997, -3.4000244, 10)",5,0.20473298,0.007621513
"(30.799997, -3.4000244, 12)",5,0.20807743,0.0067834714
"(30.799997, -3.3499756, 1)",4,0.20448199,0.0063162753
"(30.799997, -3.3499756, 3)",5,0.20168734,0.004717731
"(30.799997, -3.3499756, 5)",5,0.20108593,0.0047188383
"(30.799997, -3.3499756, 7)",5,0.2001447,0.004658709
"(30.799997, -3.3499756, 8)",5,0.2021724,0.004749911
"(30.799997, -3.3499756, 10)",5,0.20411777,0.007637574
"(30.799997, -3.3499756, 12)",5,0.20756988,0.0065534413
"(30.799997, -3.2999878, 1)",4,0.204194,0.006079863
"(30.799997, -3.2999878, 3)",5,0.20158061,0.0048037195
"(30.799997, -3.2999878, 5)",5,0.20087036,0.00487596
"(30.799997, -3.2999878, 7)",5,0.2000078,0.004771079
"(30.799997, -3.2999878, 8)",5,0.20203009,0.004873485
"(30.799997, -3.2999878, 10)",5,0.20376006,0.0075672497
"(30.799997, -3.2999878, 12)",5,0.20737167,0.0063926964
"(30.799997, -3.25, 1)",4,0.20403458,0.0058714384
"(30.799997, -3.25, 3)",5,0.20149474,0.0049086837
"(30.799997, -3.25, 5)",5,0.20072472,0.0050191996
"(30.799997, -3.25, 7)",5,0.19992843,0.0048760413
"(30.799997, -3.25, 8)",5,0.20194498,0.004990335
"(30.799997, -3.25, 10)",5,0.20352383,0.00754352
"(30.799997, -3.25, 12)",5,0.20719662,0.0062491153
"(30.799997, -3.2000122, 1)",4,0.20385332,0.005608956
"(30.799997, -3.2000122, 3)",5,0.20133547,0.004989187
"(30.799997, -3.2000122, 5)",5,0.20055875,0.005118954
"(30.799997, -3.2000122, 7)",5,0.19981721,0.004945468
"(30.799997, -3.2000122, 8)",5,0.20183012,0.0050539854
"(30.799997, -3.2000122, 10)",5,0.20332031,0.007512203
"(30.799997, -3.2000122, 12)",5,0.20696516,0.0060665477
"(30.799997, -3.1500244, 1)",4,0.2036881,0.0054254252
"(30.799997, -3.1500244, 3)",5,0.20111518,0.0050667482
"(30.799997, -3.1500244, 5)",5,0.2003854,0.005229901
"(30.799997, -3.1500244, 7)",5,0.19968612,0.0050564064
"(30.799997, -3.1500244, 8)",5,0.20169058,0.0051397793
"(30.799997, -3.1500244, 10)",5,0.20311102,0.0075377785
"(30.799997, -3.1500244, 12)",5,0.20668903,0.0059691803
"(30.799997, -3.0999756, 1)",4,0.2036939,0.005433406
"(30.799997, -3.0999756, 3)",5,0.20093104,0.0050948625
"(30.799997, -3.0999756, 5)",5,0.20025916,0.0053275037
"(30.799997, -3.0999756, 7)",5,0.19959617,0.00517497
"(30.799997, -3.0999756, 8)",5,0.20158915,0.0052342825
"(30.799997, -3.0999756, 10)",5,0.20292386,0.0075899875
"(30.799997, -3.0999756, 12)",5,0.20652051,0.006048979
"(30.799997, -3.0499878, 1)",4,0.20387128,0.0056801997
"(30.799997, -3.0499878, 3)",5,0.20080976,0.0050280415
"(30.799997, -3.0499878, 5)",5,0.20017584,0.0053853267
"(30.799997, -3.0499878, 7)",5,0.19956927,0.0052578854
