group,n_ref,ref_mean,ref_std
"(30.0, -9.299988, 11)",5,0.13588184,0.014584893
"(30.0, -9.299988, 12)",5,0.15294239,0.011687272
"(30.0, -9.25, 1)",5,0.15595128,0.023767468
"(30.0, -9.25, 2)",5,0.16444352,0.032995835
"(30.0, -9.25, 3)",5,0.16567788,0.035305124
"(30.0, -9.25, 4)",5,0.15812804,0.029302713
"(30.0, -9.25, 5)",5,0.14917544,0.024753409
"(30.0, -9.25, 6)",5,0.14126846,0.022809207
"(30.0, -9.25, 7)",5,0.13505116,0.022098014
"(30.0, -9.25, 8)",5,0.13194259,0.02223534
"(30.0, -9.25, 9)",5,0.13128771,0.02203773
"(30.0, -9.25, 10)",5,0.13420239,0.018557727
"(30.0, -9.25, 11)",5,0.15275979,0.012299404
"(30.0, -9.25, 12)",5,0.1675135,0.007902392
"(30.0, -9.200012, 1)",5,0.15371919,0.023322945
"(30.0, -9.200012, 2)",5,0.16220799,0.033510305
"(30.0, -9.200012, 3)",5,0.16372386,0.036619436
"(30.0, -9.200012, 4)",5,0.15613882,0.03050959
"(30.0, -9.200012, 5)",5,0.146888,0.025213294
"(30.0, -9.200012, 6)",5,0.13843936,0.021363344
"(30.0, -9.200012, 7)",5,0.13160887,0.01888417
"(30.0, -9.200012, 8)",5,0.12801322,0.017963089
"(30.0, -9.200012, 9)",5,0.12716235,0.017227381
"(30.0, -9.200012, 10)",5,0.1299859,0.013972049
"(30.0, -9.200012, 11)",5,0.14862677,0.016454963
"(30.0, -9.200012, 12)",5,0.16329291,0.012920426
"(30.0, -9.150024, 1)",5,0.15314996,0.023675075
"(30.0, -9.150024, 2)",5,0.16169694,0.03422951
"(30.0, -9.150024, 3)",5,0.16310261,0.037151948
"(30.0, -9.150024, 4)",5,0.15538757,0.03112273
"(30.0, -9.150024, 5)",5,0.1461066,0.02556229
"(30.0, -9.150024, 6)",5,0.1374378,0.021207737
"(30.0, -9.150024, 7)",5,0.1306009,0.018065153
"(30.0, -9.150024, 8)",5,0.12701169,0.016637616
"(30.0, -9.150024, 9)",5,0.12625556,0.01567946
"(30.0, -9.150024, 10)",5,0.12920603,0.01296963
"(30.0, -9.150024, 11)",5,0.14772943,0.019316768
"(30.0, -9.150024, 12)",5,0.16180219,0.015978184
"(30.0, -9.099976, 1)",5,0.15068574,0.026769958
"(30.0, -9.099976, 2)",5,0.15939915,0.037231743
"(30.0, -9.099976, 3)",5,0.16031821,0.03931213
"(30.0, -9.099976, 4)",5,0.15222731,0.0331398
"(30.0, -9.099976, 5)",5,0.14253634,0.026750335
"(30.0, -9.099976, 6)",5,0.13322943,0.02094749
"(30.0, -9.099976, 7)",5,0.12609884,0.015987376
"(30.0, -9.099976, 8)",5,0.12227663,0.013097918
"(30.0, -9.099976, 9)",5,0.12148569,0.011646358
"(30.0, -9.099976, 10)",5,0.12459829,0.012911046
"(30.0, -9.099976, 11)",5,0.14305124,0.028704964
"(30.0, -9.099976, 12)",5,0.15684772,0.025395138
"(30.0, -9.049988, 1)",5,0.1521525,0.026855601
"(30.0, -9.049988, 2)",5,0.16072981,0.03734281
"(30.0, -9.049988, 3)",5,0.16118318,0.03851801
"(30.0, -9.049988, 4)",5,0.15282436,0.032342035
"(30.0, -9.049988, 5)",5,0.14324586,0.0261184
"(30.0, -9.049988, 6)",5,0.13420029,0.020813745
"(30.0, -9.049988, 7)",5,0.12754257,0.01640782
"(30.0, -9.049988, 8)",5,0.12421584,0.013970127
"(30.0, -9.049988, 9)",5,0.12380519,0.0128229195
"(30.0, -9.049988, 10)",5,0.12746802,0.014149249
"(30.0, -9.049988, 11)",5,0.14564297,0.029205177
"(30.0, -9.049988, 12)",5,0.15849832,0.025549563
"(30.0, -9.0, 1)",5,0.23033527,0.0053055803
"(30.0, -9.0, 2)",5,0.23513857,0.015566277
"(30.0, -9.0, 3)",5,0.2319721,0.00965488
"(30.0, -9.0, 4)",5,0.22650616,0.007234998
"(30.0, -9.0, 5)",5,0.22330387,0.006783459
"(30.0, -9.0, 6)",5,0.22132745,0.006671229
"(30.0, -9.0, 7)",5,0.2202088,0.0059041474
"(30.0, -9.0, 8)",5,0.2203378,0.0054933093
"(30.0, -9.0, 9)",5,0.22173235,0.0049795266
"(30.0, -9.0, 10)",5,0.22558141,0.007028317
"(30.0, -9.0, 11)",5,0.23456343,0.0131800985
"(30.0, -9.0, 12)",5,0.2375608,0.008656779
"(30.0, -8.950012, 1)",5,0.15250109,0.03139894
"(30.0, -8.950012, 2)",5,0.160557,0.04023211
"(30.0, -8.950012, 3)",5,0.16018914,0.039585818
"(30.0, -8.950012, 4)",5,0.15137231,0.032572456
"(30.0, -8.950012, 5)",5,0.14134271,0.025442546
"(30.0, -8.950012, 6)",5,0.13207465,0.019890277
