Model,Target,R2_mean,R2_std,Pearson_mean,Pearson_std,RMSE_mean,MAE_mean,Bias_mean
RF,increment_SSM_DA_NoCDF,0.2689163994118176,0.03644746226600596,0.5199289998976334,0.03198293709781111,0.0822000581765732,0.05446944987125378,-0.0022252889777774915
RF,delta_increment_NoCDF_minus_CDF_SSM,0.12081130623819358,0.015141319457495172,0.3503596755368104,0.019993386854388208,0.09916293986767363,0.06213597566813488,-0.0014495657362659686
RF,delta_DA_NoCDF_minus_OPL_RZSM,0.3982825774226198,0.05371386685922738,0.6373519308746939,0.0369879887466043,0.020971861127410507,0.0144187639680288,-0.0007427159698586215
RF,delta_DA_NoCDF_minus_OPL_ET,0.5188948466856166,0.06714592696014837,0.7250888089058772,0.039449121814212895,7.358378136051405,4.730966979171687,-0.29183979284018213
RF,delta_DA_NoCDF_minus_OPL_baseflow,-0.06882492338201078,0.1859029980560108,0.248839125289599,0.12998635220439642,5.064244371755491,1.293292437805913,-0.33276927031667514
RF,delta_DA_NoCDF_minus_OPL_runoff,0.009584746053571958,0.1284766685551744,0.3329493910619179,0.16710548067797304,0.6654416307845729,0.1312961357940033,-0.041113176276362254
RF,delta_increment_NoCDF_minus_CDF_RZSM,0.09709257040754057,0.02862452397432719,0.31731183492544063,0.04128718162411003,0.0270859948138426,0.013342190594171887,-0.0008013346366950967
RF,delta_DA_CDF_minus_OPL_ET,0.3537007712564874,0.07264910753200915,0.5949903771134857,0.05811347299873155,6.802866558598225,4.377463024357039,-0.06171520689139448
RF,delta_DA_CDF_minus_OPL_RZSM,0.22289981750603816,0.019277619901011307,0.47743477476524526,0.021814373756544797,0.018104808568784415,0.011887542464147733,2.89821155482975e-05
