Target,R2,RMSE,MAE,Pearson,Bias,Std_Obs,Std_Pred
increment_SSM_DA_NoCDF,0.1969214983153208,0.08612847654449068,0.057557493738362976,0.446789080113828,-0.0033018844819373296,0.09612143039703369,0.04668625286448203
increment_SSM_DA_CDF,0.11703917506103101,0.06709697114491393,0.03506110056336554,0.34318896423973844,0.001814849278074138,0.07138833403587341,0.023815021614908033
delta_increment_NoCDF_minus_CDF_SSM,0.040328135418376876,0.10473632453014103,0.06579375621441534,0.22494079428272865,-0.005847145083022491,0.10689820349216461,0.033171159718434914
increment_RZSM_DA_NoCDF,0.16062780414820121,0.022678510193417243,0.011598483652850173,0.40249516602939334,-0.0007559483530486059,0.024760063737630844,0.01048354820395712
increment_RZSM_DA_CDF,0.11179655899763496,0.015338561035469562,0.006896171608662609,0.3351209872352353,0.00034653568716222065,0.01625354029238224,0.005576143098779941
delta_increment_NoCDF_minus_CDF_RZSM,0.056339006444010686,0.026702820563749622,0.013327587510489696,0.2428063384597028,-0.001216889508251134,0.027479488402605057,0.007378474710506423
delta_NoCDF_minus_CDF_SSM,0.2164408892024885,0.022471222063545165,0.015527780372717065,0.4884684019416412,-0.0032563641475977395,0.025382347404956818,0.014317753971982913
delta_DA_NoCDF_minus_OPL_RZSM,0.3625716818106227,0.023602536470750907,0.016618924633710216,0.6086964547306557,0.0019616693822927687,0.02956189215183258,0.016236617545171812
delta_DA_CDF_minus_OPL_RZSM,0.13740514164462747,0.019287429420956972,0.013068211262804618,0.3843471001865516,0.001831384123164611,0.020766235888004303,0.00902839560363767
delta_DA_NoCDF_minus_OPL_ET,0.44734656385874205,7.425563180945569,4.57171963777593,0.6807617380049161,-1.1961007329317033,9.98856178603016,7.217756914774842
delta_DA_CDF_minus_OPL_ET,0.368589250788935,6.8854258233153605,4.2449671101348665,0.6083661439610681,0.18832611739740454,8.665124728151161,4.991086565801433
delta_DA_NoCDF_minus_OPL_runoff,0.2705184180342426,0.439621379487826,0.08810580666356789,0.5806264684628527,-0.03705494218679102,0.514720705795488,0.17129063568815334
delta_DA_NoCDF_minus_OPL_baseflow,0.128946198216223,5.631499480445006,1.0268520548707465,0.4003880833885394,-0.5287130719339651,6.033947929601032,1.4872687016527275
