land_cover,year,month,pct_area,experiment,dry_category
3,2018,9,0.0,OPL,D0
3,2018,10,0.0,OPL,D0
3,2018,11,0.0,OPL,D0
3,2018,12,0.0,OPL,D0
3,2019,1,0.0,OPL,D0
3,2019,2,0.0,OPL,D0
3,2019,3,0.0,OPL,D0
3,2019,4,0.0,OPL,D0
3,2019,5,0.0,OPL,D0
3,2019,6,0.0,OPL,D0
3,2019,7,0.0,OPL,D0
3,2019,8,0.0,OPL,D0
3,2019,9,0.0,OPL,D0
3,2019,10,0.0,OPL,D0
3,2019,11,0.0,OPL,D0
3,2019,12,0.0,OPL,D0
3,2020,1,100.0,OPL,D0
3,2020,2,100.0,OPL,D0
3,2020,3,100.0,OPL,D0
3,2020,4,100.0,OPL,D0
3,2020,5,100.0,OPL,D0
3,2020,6,100.0,OPL,D0
3,2020,7,100.0,OPL,D0
3,2020,8,100.0,OPL,D0
3,2020,9,100.0,OPL,D0
3,2020,10,100.0,OPL,D0
3,2020,11,0.0,OPL,D0
3,2020,12,100.0,OPL,D0
5,2016,1,100.0,OPL,D0
5,2016,2,100.0,OPL,D0
5,2016,3,24.324326,OPL,D0
5,2016,4,89.189186,OPL,D0
5,2016,5,70.27027,OPL,D0
5,2016,6,72.97297,OPL,D0
5,2016,7,83.78378,OPL,D0
5,2016,8,72.97297,OPL,D0
5,2016,9,86.48649,OPL,D0
5,2016,10,18.918919,OPL,D0
5,2016,11,2.7027028,OPL,D0
5,2016,12,0.0,OPL,D0
5,2017,1,0.0,OPL,D0
5,2017,2,0.0,OPL,D0
5,2017,3,0.0,OPL,D0
5,2017,4,91.89189,OPL,D0
5,2017,5,37.837837,OPL,D0
5,2017,6,51.35135,OPL,D0
5,2017,7,62.162163,OPL,D0
5,2017,8,32.43243,OPL,D0
5,2017,9,29.72973,OPL,D0
5,2017,10,56.75676,OPL,D0
5,2017,11,100.0,OPL,D0
5,2017,12,97.2973,OPL,D0
5,2018,1,35.135136,OPL,D0
5,2018,2,0.0,OPL,D0
5,2018,3,0.0,OPL,D0
5,2018,4,0.0,OPL,D0
5,2018,5,0.0,OPL,D0
5,2018,6,0.0,OPL,D0
5,2018,7,0.0,OPL,D0
5,2018,8,0.0,OPL,D0
5,2018,9,0.0,OPL,D0
5,2018,10,0.0,OPL,D0
5,2018,11,0.0,OPL,D0
5,2018,12,0.0,OPL,D0
5,2019,1,0.0,OPL,D0
5,2019,2,2.7027028,OPL,D0
5,2019,3,75.675674,OPL,D0
5,2019,4,8.108108,OPL,D0
5,2019,5,78.37838,OPL,D0
5,2019,6,72.97297,OPL,D0
5,2019,7,48.64865,OPL,D0
5,2019,8,91.89189,OPL,D0
5,2019,9,78.37838,OPL,D0
5,2019,10,94.59459,OPL,D0
5,2019,11,16.216215,OPL,D0
5,2019,12,16.216215,OPL,D0
5,2020,1,64.86486,OPL,D0
5,2020,2,97.2973,OPL,D0
5,2020,3,100.0,OPL,D0
5,2020,4,10.810811,OPL,D0
5,2020,5,13.513513,OPL,D0
5,2020,6,2.7027028,OPL,D0
5,2020,7,5.4054055,OPL,D0
5,2020,8,2.7027028,OPL,D0
5,2020,9,5.4054055,OPL,D0
5,2020,10,29.72973,OPL,D0
5,2020,11,81.08108,OPL,D0
5,2020,12,86.48649,OPL,D0
6,2016,1,100.0,OPL,D0
6,2016,2,100.0,OPL,D0
6,2016,3,75.92593,OPL,D0
6,2016,4,92.59259,OPL,D0
6,2016,5,38.88889,OPL,D0
6,2016,6,20.37037,OPL,D0
6,2016,7,1.8518518,OPL,D0
6,2016,8,7.4074073,OPL,D0
6,2016,9,14.814815,OPL,D0
6,2016,10,1.8518518,OPL,D0
6,2016,11,1.8518518,OPL,D0
6,2016,12,1.8518518,OPL,D0
6,2017,1,0.0,OPL,D0
6,2017,2,0.0,OPL,D0
6,2017,3,0.0,OPL,D0
6,2017,4,16.666668,OPL,D0
6,2017,5,42.592594,OPL,D0
6,2017,6,70.37037,OPL,D0
6,2017,7,88.88889,OPL,D0
6,2017,8,92.59259,OPL,D0
6,2017,9,81.48148,OPL,D0
6,2017,10,85.18519,OPL,D0
6,2017,11,98.14815,OPL,D0
6,2017,12,98.14815,OPL,D0
6,2018,1,18.518518,OPL,D0
6,2018,2,14.814815,OPL,D0
6,2018,3,0.0,OPL,D0
6,2018,4,0.0,OPL,D0
6,2018,5,0.0,OPL,D0
6,2018,6,0.0,OPL,D0
6,2018,7,0.0,OPL,D0
6,2018,8,11.111112,OPL,D0
6,2018,9,14.814815,OPL,D0
6,2018,10,0.0,OPL,D0
6,2018,11,0.0,OPL,D0
6,2018,12,0.0,OPL,D0
6,2019,1,0.0,OPL,D0
6,2019,2,25.925926,OPL,D0
6,2019,3,25.925926,OPL,D0
6,2019,4,29.62963,OPL,D0
6,2019,5,77.77778,OPL,D0
6,2019,6,87.03704,OPL,D0
6,2019,7,100.0,OPL,D0
6,2019,8,88.88889,OPL,D0
6,2019,9,83.33333,OPL,D0
6,2019,10,96.296295,OPL,D0
6,2019,11,83.33333,OPL,D0
6,2019,12,83.33333,OPL,D0
6,2020,1,81.48148,OPL,D0
6,2020,2,94.117645,OPL,D0
6,2020,3,98.14815,OPL,D0
6,2020,4,61.11111,OPL,D0
6,2020,5,40.74074,OPL,D0
6,2020,6,22.222223,OPL,D0
6,2020,7,9.259259,OPL,D0
6,2020,8,0.0,OPL,D0
6,2020,9,5.555556,OPL,D0
6,2020,10,16.666668,OPL,D0
6,2020,11,16.666668,OPL,D0
6,2020,12,16.666668,OPL,D0
7,2016,1,90.473785,OPL,D0
7,2016,2,95.624016,OPL,D0
7,2016,3,69.33996,OPL,D0
7,2016,4,65.98651,OPL,D0
7,2016,5,36.621716,OPL,D0
7,2016,6,22.906317,OPL,D0
7,2016,7,14.141234,OPL,D0
7,2016,8,11.320086,OPL,D0
7,2016,9,15.880057,OPL,D0
7,2016,10,12.402413,OPL,D0
7,2016,11,3.2647266,OPL,D0
7,2016,12,0.30163234,OPL,D0
7,2017,1,0.01774308,OPL,D0
7,2017,2,0.053229243,OPL,D0
7,2017,3,0.07097232,OPL,D0
